period,numbers,special
26001,02 06 10 12 13 17,08
26002,06 07 09 15 25 32,01
26003,03 14 20 33 34 38,08
26004,05 13 17 23 33 38,01
26005,12 17 25 29 31 33,07
26006,04 05 10 14 19 23,08
26007,07 17 19 31 33 34,04
26008,01 13 28 33 37 38,07
26009,02 04 07 14 17 37,05
26010,14 18 20 28 36 38,07
26011,13 19 20 32 34 35,05
26012,01 15 21 22 30 37,07
26013,01 04 18 25 26 30,02
26014,02 04 12 16 18 25,06
26015,13 18 25 28 31 37,03
26016,03 05 28 32 37 38,05
26017,09 16 22 30 31 37,03
26018,08 24 26 29 34 36,01
26019,14 19 20 24 34 37,05
26020,05 08 12 28 30 38,06
26021,07 09 10 12 35 38,05
26022,03 07 10 30 33 35,07
26023,07 08 10 14 16 36,03
26024,10 17 19 25 26 32,07
26025,05 08 16 23 25 38,05
26026,06 13 15 16 26 38,03
26027,03 04 06 14 29 34,07
26028,07 14 26 29 32 37,07
26029,05 10 12 21 22 29,06
26030,11 19 20 24 26 27,08
26031,04 05 08 12 24 35,01
26032,01 10 14 15 29 31,08
26033,09 10 15 22 23 24,08
26034,09 13 15 22 33 37,08
26035,12 13 24 27 28 38,02
26036,06 07 14 19 25 27,05
26037,04 21 26 29 36 38,05
26038,06 11 15 33 34 37,02
26039,01 03 04 17 25 34,01
26040,03 12 15 17 19 32,02
